도로종류,시간대,사고수,월,유형
특별광역시도,20시-22시,659,03,사고건수
특별광역시도,22시-24시,584,03,사고건수
시도,00시-02시,169,03,사고건수
시도,02시-04시,76,03,사고건수
시도,04시-06시,97,03,사고건수
시도,06시-08시,293,03,사고건수
시도,08시-10시,547,03,사고건수
시도,10시-12시,505,03,사고건수
시도,12시-14시,614,03,사고건수
시도,14시-16시,660,03,사고건수
시도,16시-18시,679,03,사고건수
시도,18시-20시,760,03,사고건수
시도,20시-22시,533,03,사고건수
시도,22시-24시,392,03,사고건수
군도,00시-02시,9,03,사고건수
군도,02시-04시,5,03,사고건수
군도,04시-06시,6,03,사고건수
군도,06시-08시,19,03,사고건수
군도,08시-10시,56,03,사고건수
군도,10시-12시,56,03,사고건수
군도,12시-14시,74,03,사고건수
군도,14시-16시,74,03,사고건수
군도,16시-18시,63,03,사고건수
군도,18시-20시,63,03,사고건수
군도,20시-22시,34,03,사고건수
군도,22시-24시,21,03,사고건수
고속국도,00시-02시,15,03,사고건수
고속국도,02시-04시,10,03,사고건수
고속국도,04시-06시,17,03,사고건수
고속국도,06시-08시,31,03,사고건수
고속국도,08시-10시,45,03,사고건수
고속국도,10시-12시,48,03,사고건수
고속국도,12시-14시,31,03,사고건수
고속국도,14시-16시,53,03,사고건수
고속국도,16시-18시,58,03,사고건수
고속국도,18시-20시,54,03,사고건수
고속국도,20시-22시,24,03,사고건수
고속국도,22시-24시,25,03,사고건수
일반국도,00시-02시,3,03,사망자수
일반국도,02시-04시,2,03,사망자수
일반국도,04시-06시,3,03,사망자수
일반국도,06시-08시,3,03,사망자수
일반국도,08시-10시,5,03,사망자수
일반국도,10시-12시,1,03,사망자수
일반국도,12시-14시,5,03,사망자수
일반국도,14시-16시,3,03,사망자수
일반국도,16시-18시,5,03,사망자수
일반국도,18시-20시,4,03,사망자수
일반국도,20시-22시,1,03,사망자수
일반국도,22시-24시,2,03,사망자수
지방도,00시-02시,0,03,사망자수
지방도,02시-04시,3,03,사망자수
지방도,04시-06시,5,03,사망자수
지방도,06시-08시,0,03,사망자수
지방도,08시-10시,2,03,사망자수
지방도,10시-12시,4,03,사망자수
지방도,12시-14시,3,03,사망자수
지방도,14시-16시,4,03,사망자수
지방도,16시-18시,2,03,사망자수
지방도,18시-20시,6,03,사망자수
지방도,20시-22시,0,03,사망자수
지방도,22시-24시,0,03,사망자수
특별광역시도,00시-02시,4,03,사망자수
특별광역시도,02시-04시,3,03,사망자수
특별광역시도,04시-06시,3,03,사망자수
특별광역시도,06시-08시,5,03,사망자수
특별광역시도,08시-10시,1,03,사망자수
특별광역시도,10시-12시,11,03,사망자수
특별광역시도,12시-14시,7,03,사망자수
특별광역시도,14시-16시,3,03,사망자수
특별광역시도,16시-18시,5,03,사망자수
특별광역시도,18시-20시,2,03,사망자수
특별광역시도,20시-22시,4,03,사망자수
특별광역시도,22시-24시,3,03,사망자수
시도,00시-02시,2,03,사망자수
시도,02시-04시,2,03,사망자수
시도,04시-06시,6,03,사망자수
시도,06시-08시,4,03,사망자수
시도,08시-10시,4,03,사망자수
시도,10시-12시,6,03,사망자수
시도,12시-14시,6,03,사망자수
시도,14시-16시,7,03,사망자수
시도,16시-18시,5,03,사망자수
시도,18시-20시,6,03,사망자수
시도,20시-22시,2,03,사망자수
시도,22시-24시,4,03,사망자수
군도,00시-02시,0,03,사망자수
군도,02시-04시,0,03,사망자수
군도,04시-06시,0,03,사망자수
군도,06시-08시,1,03,사망자수
군도,08시-10시,2,03,사망자수
군도,10시-12시,0,03,사망자수
군도,12시-14시,6,03,사망자수
군도,14시-16시,1,03,사망자수
군도,16시-18시,0,03,사망자수
군도,18시-20시,0,03,사망자수
군도,20시-22시,1,03,사망자수
군도,22시-24시,0,03,사망자수
고속국도,00시-02시,1,03,사망자수
고속국도,02시-04시,0,03,사망자수
고속국도,04시-06시,0,03,사망자수
고속국도,06시-08시,0,03,사망자수
고속국도,08시-10시,0,03,사망자수
고속국도,10시-12시,3,03,사망자수
고속국도,12시-14시,0,03,사망자수
고속국도,14시-16시,5,03,사망자수
고속국도,16시-18시,1,03,사망자수
고속국도,18시-20시,2,03,사망자수
고속국도,20시-22시,0,03,사망자수
고속국도,22시-24시,4,03,사망자수
일반국도,00시-02시,72,03,부상자수
일반국도,02시-04시,27,03,부상자수
일반국도,04시-06시,42,03,부상자수
일반국도,06시-08시,150,03,부상자수
일반국도,08시-10시,230,03,부상자수
일반국도,10시-12시,220,03,부상자수
일반국도,12시-14시,241,03,부상자수
일반국도,14시-16시,267,03,부상자수
일반국도,16시-18시,333,03,부상자수
일반국도,18시-20시,303,03,부상자수
일반국도,20시-22시,223,03,부상자수
일반국도,22시-24시,197,03,부상자수
지방도,00시-02시,53,03,부상자수
지방도,02시-04시,11,03,부상자수
지방도,04시-06시,20,03,부상자수
지방도,06시-08시,81,03,부상자수
지방도,08시-10시,174,03,부상자수
지방도,10시-12시,199,03,부상자수
지방도,12시-14시,218,03,부상자수
지방도,14시-16시,252,03,부상자수
지방도,16시-18시,216,03,부상자수
지방도,18시-20시,222,03,부상자수
지방도,20시-22시,158,03,부상자수
지방도,22시-24시,105,03,부상자수
특별광역시도,00시-02시,335,03,부상자수
특별광역시도,02시-04시,163,03,부상자수
특별광역시도,04시-06시,227,03,부상자수
특별광역시도,06시-08시,465,03,부상자수
특별광역시도,08시-10시,849,03,부상자수
특별광역시도,10시-12시,873,03,부상자수
특별광역시도,12시-14시,1000,03,부상자수
특별광역시도,14시-16시,1177,03,부상자수
특별광역시도,16시-18시,1213,03,부상자수
특별광역시도,18시-20시,1388,03,부상자수
특별광역시도,20시-22시,961,03,부상자수
특별광역시도,22시-24시,852,03,부상자수
시도,00시-02시,250,03,부상자수
시도,02시-04시,105,03,부상자수
시도,04시-06시,120,03,부상자수
시도,06시-08시,402,03,부상자수
시도,08시-10시,790,03,부상자수
시도,10시-12시,708,03,부상자수
시도,12시-14시,896,03,부상자수
시도,14시-16시,968,03,부상자수
시도,16시-18시,1001,03,부상자수
시도,18시-20시,1080,03,부상자수
시도,20시-22시,759,03,부상자수
시도,22시-24시,603,03,부상자수
군도,00시-02시,13,03,부상자수
군도,02시-04시,5,03,부상자수
군도,04시-06시,9,03,부상자수
군도,06시-08시,26,03,부상자수
군도,08시-10시,76,03,부상자수
군도,10시-12시,69,03,부상자수
군도,12시-14시,91,03,부상자수
군도,14시-16시,101,03,부상자수
군도,16시-18시,93,03,부상자수
군도,18시-20시,90,03,부상자수
군도,20시-22시,48,03,부상자수
군도,22시-24시,29,03,부상자수
고속국도,00시-02시,30,03,부상자수
고속국도,02시-04시,12,03,부상자수
고속국도,04시-06시,32,03,부상자수
고속국도,06시-08시,48,03,부상자수
고속국도,08시-10시,85,03,부상자수
고속국도,10시-12시,91,03,부상자수
고속국도,12시-14시,63,03,부상자수
고속국도,14시-16시,127,03,부상자수
고속국도,16시-18시,120,03,부상자수
고속국도,18시-20시,95,03,부상자수
고속국도,20시-22시,46,03,부상자수
